1,6,9,0.67
2,5,9,0.56
3,6,9,0.67
4,3,9,0.33
5,5,9,0.56
6,5,9,0.56
7,6,9,0.67
8,6,9,0.67
9,3,9,0.33
10,7,9,0.78
11,6,9,0.67
12,6,9,0.67
13,5,9,0.56
14,6,9,0.67
15,6,9,0.67
16,3,9,0.33
17,3,9,0.33
18,6,9,0.67
19,6,9,0.67
20,6,9,0.67
21,3,9,0.33
22,4,9,0.44
23,6,9,0.67
24,7,9,0.78
25,7,9,0.78
26,5,9,0.56
27,5,9,0.56
28,3,9,0.33
29,7,9,0.78
30,6,9,0.67
31,6,9,0.67
32,6,9,0.67
33,5,9,0.56
34,4,9,0.44
35,4,9,0.44
36,6,9,0.67
37,6,9,0.67
38,5,9,0.56
39,5,9,0.56
40,6,9,0.67
41,4,9,0.44
42,3,9,0.33
43,6,9,0.67
44,3,9,0.33
45,6,9,0.67
46,4,9,0.44
47,4,9,0.44
48,7,9,0.78
49,4,9,0.44
50,6,9,0.67
51,1,9,0.11
52,4,9,0.44
53,3,9,0.33
54,7,9,0.78
55,5,9,0.56
56,4,9,0.44
57,4,9,0.44
58,6,9,0.67
59,4,9,0.44
60,6,9,0.67
61,6,9,0.67
62,5,9,0.56
63,5,9,0.56
64,7,9,0.78
65,3,9,0.33
66,4,9,0.44
67,6,9,0.67
68,6,9,0.67
69,6,9,0.67
70,4,9,0.44
71,3,9,0.33
72,4,9,0.44
73,6,9,0.67
74,6,9,0.67
75,6,9,0.67
76,3,9,0.33
77,2,9,0.22
78,3,9,0.33
79,5,9,0.56
80,6,9,0.67
81,5,9,0.56
82,6,9,0.67
83,6,9,0.67
84,5,9,0.56
85,3,9,0.33
86,6,9,0.67
87,2,9,0.22
88,4,9,0.44
89,6,9,0.67
90,6,9,0.67
91,6,9,0.67
92,4,9,0.44
93,6,9,0.67
94,3,9,0.33
95,5,9,0.56
96,6,9,0.67
97,2,9,0.22
98,7,9,0.78
99,6,9,0.67
100,5,9,0.56
101,5,9,0.56
102,3,9,0.33
103,7,9,0.78
104,6,9,0.67
105,5,9,0.56
106,7,9,0.78
107,5,9,0.56
108,3,9,0.33
109,2,9,0.22
110,4,9,0.44
111,6,9,0.67
112,6,9,0.67
113,4,9,0.44
114,3,9,0.33
115,5,9,0.56
116,4,9,0.44
117,4,9,0.44
118,6,9,0.67
119,1,9,0.11
120,4,9,0.44
121,3,9,0.33
122,4,9,0.44
123,5,9,0.56
124,6,9,0.67
125,4,9,0.44
126,3,9,0.33
127,6,9,0.67
128,2,9,0.22
129,5,9,0.56
130,5,9,0.56
131,3,9,0.33
132,5,9,0.56
133,6,9,0.67
134,3,9,0.33
135,2,9,0.22
136,5,9,0.56
137,6,9,0.67
138,2,9,0.22
139,6,9,0.67
140,6,9,0.67
141,6,9,0.67
142,5,9,0.56
143,3,9,0.33
144,4,9,0.44
145,4,9,0.44
146,6,9,0.67
147,4,9,0.44
148,1,9,0.11
149,6,9,0.67
150,6,9,0.67
151,6,9,0.67
152,7,9,0.78
153,0,9,0.0
154,2,9,0.22
155,3,9,0.33
156,2,9,0.22
157,5,9,0.56
158,5,9,0.56
159,6,9,0.67
160,7,9,0.78
161,1,9,0.11
162,5,9,0.56
163,4,9,0.44
164,3,9,0.33
165,5,9,0.56
166,6,9,0.67
167,4,9,0.44
168,1,9,0.11
169,4,9,0.44
170,5,9,0.56
171,4,9,0.44
172,2,9,0.22
173,1,9,0.11
174,3,9,0.33
175,5,9,0.56
176,3,9,0.33
177,7,9,0.78
178,5,9,0.56
179,2,9,0.22
180,2,9,0.22
181,5,9,0.56
182,6,9,0.67
183,6,9,0.67
184,3,9,0.33
185,2,9,0.22
186,2,9,0.22
187,3,9,0.33
188,5,9,0.56
189,4,9,0.44
190,4,9,0.44
191,3,9,0.33
192,6,9,0.67
193,5,9,0.56
194,6,9,0.67
195,2,9,0.22
196,2,9,0.22
197,0,9,0.0
198,5,9,0.56
199,3,9,0.33
200,4,9,0.44
201,6,9,0.67
202,3,9,0.33
203,2,9,0.22
204,6,9,0.67
205,9,9,1.0
206,2,9,0.22
207,4,9,0.44
208,4,9,0.44
209,2,9,0.22
210,3,9,0.33
211,7,9,0.78
212,2,9,0.22
213,3,9,0.33
214,6,9,0.67
215,4,9,0.44
216,7,9,0.78
217,6,9,0.67
218,0,9,0.0
219,3,9,0.33
220,4,9,0.44
221,4,9,0.44
222,5,9,0.56
223,4,9,0.44
224,0,9,0.0
225,2,9,0.22
226,3,9,0.33
227,3,9,0.33
228,6,9,0.67
229,3,9,0.33
230,4,9,0.44
231,6,9,0.67
232,5,9,0.56
233,3,9,0.33
234,5,9,0.56
235,4,9,0.44
236,0,9,0.0
237,2,9,0.22
238,6,9,0.67
239,7,9,0.78
240,5,9,0.56
241,6,9,0.67
242,4,9,0.44
243,6,9,0.67
244,6,9,0.67
245,3,9,0.33
246,5,9,0.56
247,5,9,0.56
248,6,9,0.67
249,2,9,0.22
250,7,9,0.78
251,4,9,0.44
252,4,9,0.44
253,8,9,0.89
254,3,9,0.33
255,4,9,0.44
256,6,9,0.67
257,6,9,0.67
258,4,9,0.44
259,6,9,0.67
260,3,9,0.33
261,6,9,0.67
262,6,9,0.67
263,5,9,0.56
264,5,9,0.56
265,4,9,0.44
266,7,9,0.78
267,3,9,0.33
268,0,9,0.0
269,3,9,0.33
270,6,9,0.67
271,6,9,0.67
272,6,9,0.67
273,3,9,0.33
274,6,9,0.67
275,6,9,0.67
276,6,9,0.67
277,5,9,0.56
278,7,9,0.78
279,4,9,0.44
280,3,9,0.33
281,3,9,0.33
282,6,9,0.67
283,6,9,0.67
284,3,9,0.33
285,3,9,0.33
286,4,9,0.44
287,1,9,0.11
288,6,9,0.67
289,5,9,0.56
290,5,9,0.56
291,6,9,0.67
292,5,9,0.56
293,6,9,0.67
294,2,9,0.22
295,6,9,0.67
296,3,9,0.33
297,2,9,0.22
298,8,9,0.89
299,3,9,0.33
300,5,9,0.56
301,6,9,0.67
302,3,9,0.33
303,0,9,0.0
304,6,9,0.67
305,6,9,0.67
306,6,9,0.67
307,0,9,0.0
308,4,9,0.44
309,4,9,0.44
310,4,9,0.44
311,6,9,0.67
312,5,9,0.56
313,3,9,0.33
314,6,9,0.67
315,6,9,0.67
316,3,9,0.33
317,5,9,0.56
318,7,9,0.78
319,6,9,0.67
320,7,9,0.78
321,9,9,1.0
322,4,9,0.44
323,0,9,0.0
324,1,9,0.11
325,1,9,0.11
326,3,9,0.33
327,7,9,0.78
328,6,9,0.67
329,7,9,0.78
330,5,9,0.56
331,1,9,0.11
332,0,9,0.0
333,3,9,0.33
334,3,9,0.33
335,5,9,0.56
336,5,9,0.56
337,6,9,0.67
338,1,9,0.11
339,6,9,0.67
340,7,9,0.78
341,4,9,0.44
342,2,9,0.22
343,5,9,0.56
344,5,9,0.56
345,6,9,0.67
346,6,9,0.67
347,6,9,0.67
348,2,9,0.22
349,0,9,0.0
350,4,9,0.44
351,1,9,0.11
352,4,9,0.44
353,6,9,0.67
354,1,9,0.11
355,4,9,0.44
356,6,9,0.67
357,4,9,0.44
358,2,9,0.22
359,7,9,0.78
360,3,9,0.33
361,6,9,0.67
362,5,9,0.56
363,5,9,0.56
364,3,9,0.33
365,6,9,0.67
366,4,9,0.44
367,6,9,0.67
368,3,9,0.33
369,1,9,0.11
370,1,9,0.11
371,4,9,0.44
372,6,9,0.67
373,2,9,0.22
374,2,9,0.22
375,3,9,0.33
376,5,9,0.56
377,5,9,0.56
378,7,9,0.78
379,7,9,0.78
380,5,9,0.56
381,5,9,0.56
382,6,9,0.67
383,2,9,0.22
384,6,9,0.67
385,2,9,0.22
386,2,9,0.22
387,6,9,0.67
388,4,9,0.44
389,2,9,0.22
390,3,9,0.33
391,3,9,0.33
